類別：所有類別
"crossword: (29/9/2024 - 29/12/2024, 全球)"

TOP
crossword clue,100
mini,34
mini crossword,33
crossword nyt,26
nyt,26
the crossword,26
nyt crossword mini,11
wordle,11
connections,10
nyt mini,10
crossword puzzles,8
crossword puzzle,7
crossword solver,6
crossword answers,5
daily crossword,5
free crossword,5
strands,4
connections nyt,4
wordle nyt,3
la crossword,3
crossword game,3
online crossword,3
guardian crossword,3
new york times crossword,3
new york times,3

RISING
first blank on a form crossword clue,"+ 2,650%"
common sweetener crossword,"+ 2,350%"
alimentation crossword clue,"+ 2,200%"
kroner,"+ 1,850%"
celerity crossword clue,"+ 1,350%"
fett,"+ 1,150%"
tittle,"+ 1,100%"
fundamentally important crossword clue,"+ 1,100%"
free running crossword clue,"+ 1,100%"
sports connections,+ 800%
thrives crossword clue,+ 700%
range of vision crossword clue,+ 450%
christmas crossword,+ 350%
torte,+ 350%
nyse,+ 250%
montreal hockey player to fans,+ 250%
halloween crossword,+ 200%
canary,+ 180%
nyt crossword clues,+ 130%
obvious crossword clue,+ 130%
sentient crossword clue,+ 120%
shiva,+ 110%
crossword master,+ 80%
nyt mini crossword clues,+ 80%
annex,+ 70%

