類別：所有類別
"puzzle: (29/9/2024 - 29/12/2024, 全球)"

TOP
puzzle jigsaw,100
crossword puzzle,99
jigsaw,97
crossword,97
online puzzle,76
puzzle game,73
puzzle games,60
puzzle 3d,57
puzzles,50
word puzzle,47
puzzle piece,47
major puzzle,45
puzzle durov,45
puzzle 1000,44
connections puzzle,36
puzzle pieces,35
ravensburger,32
ravensburger puzzle,31
puzzle box,31
puzzle durov major,30
puzzle you,30
silent hill 2,29
christmas puzzle,27
block puzzle,24
wooden puzzle,23

RISING
silent hill 2 remake,激增
agent 301 puzzle,激增
bo6 piano puzzle,激增
gchq christmas puzzle,激增
black ops 6 piano puzzle,激增
silent hill 2 remake coin puzzle,激增
gchq christmas puzzle 2024,激增
moth puzzle silent hill 2,激增
agent 301 daily puzzle,"+ 4,550%"
raven sword puzzle,"+ 4,400%"
gchq,"+ 3,400%"
silent hill 2 remake moth puzzle,"+ 3,200%"
agent 301 puzzle today,"+ 2,800%"
silent hill 2,"+ 2,650%"
major puzzle durov 13 october,"+ 2,600%"
major puzzle durov 14 october,"+ 2,200%"
major puzzle durov 27 october,"+ 2,200%"
major puzzle durov 26 october,"+ 1,750%"
major puzzle durov 3 october,"+ 1,600%"
faron temple statue puzzle,"+ 1,400%"
coin puzzle silent hill 2,"+ 1,200%"
silent hill 2 clock puzzle,+ 850%
christmas puzzle,+ 700%
ms rachel puzzle,+ 700%
iconic puzzle,+ 550%

